39,50,3
39,50,4
39,50,5
39,50,6
39,50,7
39,50,8
39,50,9
39,50,10
39,50,11
39,50,12
39,55,0
39,55,1
39,55,2
39,55,3
39,55,4
39,55,5
39,55,6
39,55,7
39,55,8
39,55,9
39,55,10
39,55,11
39,55,12
39,60,0
39,60,1
39,60,2
39,60,3
39,60,4
39,60,5
39,60,6
39,60,7
39,60,8
39,60,9
39,60,10
39,60,11
39,60,12
39,65,0
39,65,1
39,65,2
39,65,3
39,65,4
39,65,5
39,65,6
39,65,7
39,65,8
39,65,9
39,65,10
39,65,11
39,65,12
39,70,0
39,70,1
39,70,2
39,70,3
39,70,4
39,70,5
39,70,6
39,70,7
39,70,8
39,70,9
39,70,10
39,70,11
39,70,12
39,75,0
39,75,1
39,75,2
39,75,3
39,75,4
39,75,5
39,75,6
39,75,7
39,75,8
39,75,9
39,75,10
39,75,11
39,75,12
39,80,0
39,80,1
39,80,2
39,80,3
39,80,4
39,80,5
39,80,6
39,80,7
39,80,8
39,80,9
39,80,10
39,80,11
39,80,12
39,85,0
39,85,1
39,85,2
39,85,3
39,85,4
39,85,5
39,85,6
39,85,7
39,85,8
39,85,9
39,85,10
39,85,11
39,85,12
39,90,0
39,90,1
39,90,2
39,90,3
39,90,4
39,90,5
39,90,6
39,90,7
39,90,8
39,90,9
39,90,10
39,90,11
39,90,12
39,95,0
39,95,1
39,95,2
39,95,3
39,95,4
39,95,5
39,95,6
39,95,7
39,95,8
39,95,9
39,95,10
39,95,11
39,95,12
39,100,0
39,100,1
39,100,2
39,100,3
39,100,4
39,100,5
39,100,6
39,100,7
39,100,8
39,100,9
39,100,10
39,100,11
39,100,12
40,5,0
40,5,1
40,5,2
40,5,3
40,5,4
40,5,5
40,5,6
40,5,7
40,5,8
40,5,9
40,5,10
40,5,11
40,5,12
40,10,0
40,10,1
40,10,2
40,10,3
40,10,4
40,10,5
40,10,6
40,10,7
40,10,8
40,10,9
40,10,10
40,10,11
40,10,12
40,15,0
40,15,1
40,15,2
40,15,3
40,15,4
40,15,5
40,15,6
40,15,7
40,15,8
40,15,9
40,15,10
40,15,11
40,15,12
40,20,0
40,20,1
40,20,2
40,20,3
40,20,4
40,20,5
40,20,6
40,20,7
40,20,8
40,20,9
40,20,10
40,20,11
40,20,12
40,25,0
40,25,1
40,25,2
40,25,3
40,25,4
40,25,5
40,25,6
40,25,7
40,25,8
40,25,9
40,25,10
40,25,11
40,25,12
40,30,0
40,30,1
40,30,2
40,30,3
40,30,4
40,30,5
40,30,6
40,30,7
40,30,8
40,30,9
40,30,10
40,30,11
40,30,12
40,35,0
40,35,1
40,35,2
40,35,3
40,35,4
40,35,5
40,35,6
40,35,7
40,35,8
40,35,9
40,35,10
40,35,11
40,35,12
40,40,0
40,40,1
40,40,2
40,40,3
40,40,4
40,40,5
40,40,6
40,40,7
40,40,8
40,40,9
40,40,10
40,40,11
40,40,12
40,45,0
40,45,1
40,45,2
40,45,3
40,45,4
40,45,5
40,45,6
40,45,7
40,45,8
40,45,9
40,45,10
40,45,11
40,45,12
40,50,0
40,50,1
40,50,2
40,50,3
40,50,4
40,50,5
40,50,6
40,50,7
40,50,8
40,50,9
40,50,10
40,50,11
40,50,12
40,55,0
40,55,1
40,55,2
40,55,3
40,55,4
40,55,5
40,55,6
40,55,7
40,55,8
40,55,9
40,55,10
40,55,11
40,55,12
40,60,0
40,60,1
40,60,2
40,60,3
40,60,4
40,60,5
40,60,6
40,60,7
40,60,8
40,60,9
40,60,10
40,60,11
40,60,12
40,65,0
40,65,1
40,65,2
40,65,3
40,65,4
40,65,5
40,65,6
40,65,7
40,65,8
40,65,9
40,65,10
40,65,11
40,65,12
40,70,0
40,70,1
40,70,2
40,70,3
40,70,4
40,70,5
40,70,6
40,70,7
40,70,8
40,70,9
40,70,10
40,70,11
40,70,12
40,75,0
40,75,1
40,75,2
40,75,3
40,75,4
40,75,5
40,75,6
40,75,7
40,75,8
40,75,9
40,75,10
40,75,11
40,75,12
40,80,0
40,80,1
40,80,2
40,80,3
40,80,4
40,80,5
40,80,6
40,80,7
40,80,8
40,80,9
40,80,10
40,80,11
40,80,12
40,85,0
40,85,1
40,85,2
40,85,3
40,85,4
40,85,5
40,85,6
40,85,7
40,85,8
40,85,9
40,85,10
40,85,11
40,85,12
40,90,0
40,90,1
40,90,2
40,90,3
40,90,4
40,90,5
40,90,6
40,90,7
40,90,8
40,90,9
40,90,10
40,90,11
40,90,12
40,95,0
40,95,1
40,95,2
40,95,3
40,95,4
40,95,5
40,95,6
40,95,7
40,95,8
40,95,9
40,95,10
40,95,11
40,95,12
40,100,0
40,100,1
40,100,2
40,100,3
40,100,4
40,100,5
40,100,6
40,100,7
40,100,8
40,100,9
40,100,10
40,100,11
40,100,12
